Position,SibNB,Tx,Orth,Freq,C,V,Degree,SibComps
CV,Y,saara,సార,9,alveolar,a,690,13
CV,Y,saana,సాన,7,alveolar,a,691,16
CV,Y,saaku,సాకు,6,alveolar,a,490,15
CV,Y,saadhanaa,సాధనా,5,alveolar,a,79,1
CV,Y,saayantoo,సాయంతో,138,alveolar,a,62,1
CV,Y,saadhincaaru,సాధించారు,38,alveolar,a,42,1
CV,N,saaphii,సాఫీ,2,alveolar,a,160,0
CV,N,saagunu,సాగును,17,alveolar,a,129,0
CV,N,saadhaaranangaa,సాధారణంగా,1126,alveolar,a,10,0
CV,N,saahityam,సాహిత్యం,488,alveolar,a,22,0
CV,N,saayantram,సాయంత్రం,293,alveolar,a,6,0
CV,N,saampradaaya,సాంప్రదాయ,46,alveolar,a,10,0
CV,Y,shaaru,శారు,4,palatal,a,549,29
CV,Y,shaapam,శాపం,13,palatal,a,184,7
CV,Y,shaanti,శాంతి,355,palatal,a,98,4
CV,Y,shaatavaahanulu,శాతవాహనులు,9,palatal,a,5,3
CV,Y,shaaluva,శాలువ,8,palatal,a,57,3
CV,Y,shaarada,శారద,50,palatal,a,199,10
CV,N,shaantiyuta,శాంతియుత,22,palatal,a,2,0
CV,N,shaakhakuu,శాఖకూ,6,palatal,a,41,0
CV,N,shaariirika,శారీరిక,4,palatal,a,5,0
CV,N,shaakaahaarulu,శాకాహారులు,8,palatal,a,2,0
CV,N,shaapanaardhaalu,శాపనార్ధాలు,2,palatal,a,1,0
CV,N,shaalivaahanuDu,శాలివాహనుడు,2,palatal,a,1,0
CV,Y,Saapulu,షాపులు,20,retroflex,a,106,6
CV,Y,SaarT,షార్ట్,12,retroflex,a,65,3
CV,Y,Saapuloo,షాపులో,21,retroflex,a,47,2
CV,Y,Saaping,షాపింగ్,15,retroflex,a,21,1
CV,Y,Saavukaaru,షావుకారు,39,retroflex,a,8,1
CV,Y,Saapulooki,షాపులోకి,2,retroflex,a,7,1
CV,N,Saapulaloo,షాపులలో,3,retroflex,a,25,0
CV,N,Saapingu,షాపింగు,2,retroflex,a,6,0
CV,N,SaapuluNTaayi,షాపులుంటాయి,2,retroflex,a,4,0
CV,N,Saavukaaruku,షావుకారుకు,5,retroflex,a,3,0
CV,N,Saavukaarlu,షావుకార్లు,3,retroflex,a,2,0
CV,N,Saavukaarutoo,షావుకారుతో,2,retroflex,a,2,0
CV,Y,seeT,సేట్,28,alveolar,e,271,9
CV,N,seevalni,సేవల్ని,6,alveolar,e,11,0
CV,N,siiTunu,సీటును,3,alveolar,i,59,0
CV,Y,siita,సీత,112,alveolar,i,370,9
CV,Y,soodi,సోది,12,alveolar,o,266,2
CV,N,soomari,సోమరి,6,alveolar,o,62,0
CV,N,suudi,సూది,100,alveolar,u,240,0
CV,N,suucana,సూచన,122,alveolar,u,97,0
CV,Y,sheekhar,శేఖర్,7,palatal,e,36,2
CV,Y,sheerlu,శేర్లు,4,palatal,e,67,2
CV,Y,shiilam,శీలం,24,palatal,i,147,11
CV,N,shiitakaalam,శీతకాలం,2,palatal,i,15,0
CV,Y,shookam,శోకం,13,palatal,o,154,5
CV,Y,shoobhaa,శోభా,3,palatal,o,91,9
CV,Y,shuula,శూల,2,palatal,u,346,11
CV,Y,shuuruDu,శూరుడు,7,palatal,u,50,4
CV,N,Seervaani,షేర్వాని,2,retroflex,e,3,0
CV,Y,Seek,షేక్,23,retroflex,e,182,9
CV,Y,Siitlu,షీట్లు,4,retroflex,i,100,8
CV,Y,Siild,షీల్డ్,7,retroflex,i,19,3
CV,Y,SooDaa,షోడా,2,retroflex,o,124,9
CV,N,Sooruum,షోరూం,3,retroflex,o,7,0
CV,Y,SuuT,షూట్,6,retroflex,u,145,10
CV,N,SuuTingu,షూటింగు,6,retroflex,u,11,0
VC,Y,peedaraasi,పేదరాసి,7,alveolar,a,6,1
VC,Y,vinyaasaalatoo,విన్యాసాలతో,6,alveolar,a,10,1
VC,Y,praasatoo,ప్రాసతో,2,alveolar,a,24,1
VC,Y,raaseevaaDu,రాసేవాడు,2,alveolar,a,23,1
VC,Y,niivaasam,నివాసం,40,alveolar,a,34,5
VC,Y,raakaasi,రాకాసి,13,alveolar,a,15,1
VC,N,bakaasura,బకాసుర,2,alveolar,a,6,0
VC,N,raasaliila,రాసలీల,2,alveolar,a,4,0
VC,N,jinyaasa,జిజ్ఞాస,17,alveolar,a,4,0
VC,N,haridaasulu,హరిదాసులు,2,alveolar,a,1,0
VC,N,kaaseepu,కాసేపు,111,alveolar,a,33,0
VC,N,madraasu,మద్రాసు,277,alveolar,a,13,0
VC,Y,avakaashaalu,అవకాశాలు,139,palatal,a,15,1
VC,Y,aakaashaaniki,ఆకాశానికి,21,palatal,a,21,1
VC,Y,jiivaraashula,జీవరాశుల,4,palatal,a,6,2
VC,Y,aDiyaasha,అడియాశ,2,palatal,a,8,2
VC,Y,vinyaashamu,వినాశము,5,palatal,a,31,3
VC,Y,prakaashincindi,ప్రకాశించింది,3,palatal,a,6,1
VC,N,kalaashaalaloonuu,కళాశాలలోనూ,2,palatal,a,6,0
VC,N,aashiirvaadantoo,ఆశీర్వాదంతో,2,palatal,a,1,0
VC,N,avakaashaalaku,అవకాశాలకు,2,palatal,a,8,0
VC,N,jalaashayaalloo,జలాశయాల్లో,2,palatal,a,1,0
VC,N,aashaabangam,ఆశాభంగం,13,palatal,a,2,0
VC,N,niraashaa,నిరాశా,17,palatal,a,15,0
VC,Y,aaSaaDha,ఆషాఢ,2,retroflex,a,46,5
VC,Y,tamaaSaa,తమాషా,61,retroflex,a,34,1
VC,Y,telugubhaaSaloo,తెలుగుభాషలో,24,retroflex,a,6,1
VC,Y,dvibhaaSaa,ద్విభాషా,8,retroflex,a,5,1
VC,Y,prakaaS,ప్రకాష్,14,retroflex,a,18,5
VC,Y,kaaSaayam,కాషాయం,2,retroflex,a,16,1
VC,N,bhaaSeetara,భాషేతర,13,retroflex,a,3,0
VC,N,adikaarabhaaSagaa,అదికారభాషగా,2,retroflex,a,4,0
VC,N,abhilaaSaa,అభిలాషా,3,retroflex,a,5,0
VC,N,graanthikabhaaSaloo,గ్రాంథికభాషలో,2,retroflex,a,3,0
VC,N,bhaaSaabhivriddhii,భాషాభివృద్ధీ,2,retroflex,a,1,0
VC,N,tamaaSaagaa,తమాషాగా,32,retroflex,a,7,0
VC,Y,ceesaam,చేసాం,2,alveolar,e,52,7
VC,N,veesaviloo,వేసవిలో,73,alveolar,e,8,0
VC,N,uritiisi,ఉరితీసి,2,alveolar,i,4,0
VC,N,daaritiise,దారితీసే,22,alveolar,i,3,0
VC,N,vaDapoosi,వడపోసి,3,alveolar,o,5,0
VC,N,poosinaTlugaa,పోసినట్లుగా,2,alveolar,o,8,0
VC,N,uusindi,ఊసింది,2,alveolar,u,48,0
VC,N,guricuusi,గురిచూసి,6,alveolar,u,4,0
VC,N,gurtuceeshaaru,గుర్తుచేశారు,2,palatal,e,1,0
VC,Y,aadeesham,ఆదేశం,39,palatal,e,40,2
VC,Y,tiishaaraa,తీశారా,3,palatal,i,13,2
VC,N,jagadiish,జగదీశ్,12,palatal,i,1,0
VC,Y,aakroosham,ఆక్రోశం,3,palatal,o,3,1
VC,N,jiirNakoosham,జీర్ణకోశం,2,palatal,o,3,0
VC,N,kannumuushaaDu,కన్నుమూశాడు,6,palatal,u,0,0
VC,N,revinyuushaakha,రెవిన్యూశాఖ,5,palatal,u,0,0
VC,N,maaruveeSam,మారువేషం,2,retroflex,e,2,0
VC,N,beeSaratugaa,బేషరతుగా,4,retroflex,e,1,0
VC,Y,haariiS,హరీష్,6,retroflex,i,20,2
VC,N,mahaamaniiSi,మహామనీషి,4,retroflex,i,1,0
VC,N,naamooSigaa,నామోషిగా,2,retroflex,o,0,0
VC,N,pooSincukoogala,పోషించుకోగల,2,retroflex,o,0,0
VC,Y,duuSincaaDu,దూషించాడు,3,retroflex,u,10,1
VC,Y,muuSika,మూషిక,2,retroflex,u,39,5
